Genl group,Order acro,Order,Family acro,Family,Subfam acro,Genus,Species,Species acro1,Species acro2,Uncertain Id1,Common name,Comments,Growth form,Growth form,Cultivated only?8,Plant type2,Plant type2,Plant type2,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Location 4,Location 4,Location 4,Location 4,B2,B3 incl. hammock5,NWH (NW hammock),B5,B6,B10,B16,Status6,Status6,Sources7,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Philodendron,domesticum / hastatum,PhiSp.,PhSp.4,Sp.,NA,NA,Herb,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Philodendron,erubescens,PhiEru,PhEr,Sp.,NA,"Creeping, elephant ears",Shrub,Herb,Y,Landsc,NA,NA,NA,NA,NA,NA,8216,PltClnc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Philodendron,selloum,PhiSel,PhSe,NA,NA,NA,Shrub,Herb,?,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Philodendron,NAanadu',Phi'NAan',Ph'NAa',Sp.,NA,Resembles immature P. selloum,Shrub,Herb,Y,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Syngonium,podophyllum,SynPod,SyPo,NA,NA,NA,Vine,Herb,N,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Apia,Apiales,Aral,Araliaceae,NA,Schleffera,actinophylla,SchAct,ScAc,NA,NA,NA,Tree,Shrub,N,Weed,Landsc,NA,L&L,NA,NA,NA,NA,NA,NA,NA,WdDi,NF,NA,NA,NA,NF,NA,NA,NA,NA,,
A4.8,Apia,Apiales,Aral,Araliaceae,NA,Schleffera,arboricola,SchArb,ScAr,NA,NA,NA,Tree,Shrub,?,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A1.2,Coni,Coniferales,Arau,Araucariaceae,NA,Araucaria,heterophylla,AraHet,ArHe1,NA,Norfolk island pine,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Acoelorathe,wrightii,AcoWri,AcWr,NA,NA,NA,Tree,Shrub,N,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Acrocomia,sp.,AcrSp.,AcSp.,Sp.,NA,NA,Tree,Shrub,?,Landsc,NA,NA,NA,NA,NA,NA,8253,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Aiphanes/Acrocomia,sp.,NA,NA,Gen,NA,4-5” prickles on petioles,Shrub,Tree,Y,Landsc,NA,NA,NA,NA,NA,NA,B1e or f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Attalia,crassipatha,AttCra,AtCr,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Bismarkia,nobilis,BisNob,BiNo,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Borassus,sp.,BorSp.,BoSp.1,Sp.,Sugar palm,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Carpenteria,acuminata,CarAcu,CaAc,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Chamaedorea,seifrizii,ChaSei,ChSe,NA,Bamboo palm,NA,Shrub,NA,?,Landsc,NA,NA,NA,NA,NA,NA,8267,VergelHome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Chamaerops,humilis,ChaHum,ChHu,NA,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Chambeyronia,sp.,ChaSp.,ChSp.,Sp.,NA,NA,Tree,NA,Y,Arbo,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Cocos,nucifera,CocNuc,CoNu,NA,Coconut,NA,Tree,NA,N,Landsc,NA,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Cocothrinax,argentata,CocArg,CoAr,NA,NA,Mislabeled Washingtonia,Tree,Shrub,N,Landsc,Roc,NA,NA,NA,NA,NA,WdDi,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,[4also],,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Cocothrinax,crinita,CocCri,CoCr,Gen,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,B1e or f,8253,NA,NA,NA,NF,NA,NA,NA,NA,NA,1?,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,baileyana,CopBai,CoBa,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,cowellii,CopCow,CoCo,Sp.,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,B4,8267,VergelHome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,fallense,CopFal,CoFa,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,glabrescens,CopGla,CoGl,NA,NA,NA,Shrub,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,sp.,CopSp.1,CoSp.2,Sp.,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1e or f,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,sp.,CopSp.2,CoSp.3,Sp.,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1e or f,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Copernicia,sp.,CopSp.3,CoSp.5,Sp.,NA,"Very stout trunk (3' + wide), long petioles",Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1e or f,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Corypha,sp.,CorSp.1,CoSp.4,Sp.,NA,"No lateral inflos., giant!",Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Cryosophila,sp.,CrySp.,CrSp.,Gen,NA,Fan palm with spines on trunk,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,8253,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Dictyosperma ,album,DicAlb,DiAl,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1d,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Dypsis,cabidae,DypCab,DyCa,NA,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,B1d,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
